"artist","artist_id"
"Pola Chapelle*",945
"Rogelio Reguera",946
"J.J.*",947
"Charlotte Daniels",948
"Pat Webb",949
"The Sensational Skylights",950
"Swingville All Stars",951
"Schütz*",952
"Sweelinck*",953
"Chorus*",954
"Richard Schulze (2)",955
"Mal Waldron Septet",956
"Borodine*",957
"Moussorgsky*",958
"H. Hollreiser*",959
"Wiener Symphoniker",960
"Chor Der Weiner Staatsoper*",961
"Südwestfunksorchester",962
"Ruth Rubin",963
"Mercy Dee Walton",964
"Leo Parker",965
"Clea Bradford",966
"Roland Kirk",967
"Ken McIntyre",968
"The Gigi Gryce Quintet*",969
"The Budd Johnson Quintet",970
"Ray Charles",971
"Margaret Barry",972
"Michael Gorman",973
"Brownie McGhee",974
"Lightnin' Hopkins",975
"Sunnyland Slim",976
"Ferdinand Grossmann",977
"Blind Willie McTell",978
"Bartok*",979
"Sandor*",980
"Südwestfunkorchester Baden-Baden",981
"The Latin Jazz Quintet* + Eric Dolphy",982
"Reverend Gary Davis*",983
"The Tommy Flanagan Trio*",984
"Swingville All Stars ",985
"Michael Praetorius",986
"Johann-Christoph Bach*",987
"Samuel Scheidt",988
"Heinrich Schütz",989
"Brendel*",990
""Pro Musica" Orchestra",991
"The Larry Young Trio",992
"Otto Klemperer",993
"Vienna Symphony*",994
"L'Orchestre Des Concerts Lamoureux*",995
"Eddie "Lockjaw" Davis Big Band",996
"Manfredini*",997
"Torelli*",998
"Orchester Der Wiener Musikgesellschaft",999
"Sonny Terry*",1000
"Freddie Redd Quintet",1001
"Jimmy Hamilton",1002
"The Incredible Kai Winding Trombones*",1003
"Kenny Drew",1004
"Jaki Byard",1005
"Shorty Baker*",1006
"Doc Cheatham",1007
"Clark Terry",1008
"Ewan MacColl",1009
"Walt Dickerson",1010
"Jean Ritchie",1011
"The Prestige Blues-Swingers Featuring: Coleman Hawkins",1012
"Oliver Nelson Sextet* Featuring: Eric Dolphy",1013
"Bonnie Dobson",1014
"St. Louis Jimmy*",1015
"The Roy Haynes Trio",1016
"''Baby Face'' Willette*",1017
"Francy Boland And Company*",1018
"The Bud Freeman All-Stars*",1019
"Shorty Baker",1020
"Gioacchino Rossini",1021
"The John Coltrane Quartet",1022
"Cliff Jackson's Washboard Wanderers",1023
"Dick Wellstood's Wallerites",1024
"K.C. Douglas",1025
"Robin Roberts",1026
"Etta Jones And Strings",1027
