"source","target","year","title","type"
"Sonny Rollins Quintet", "Kenny Dorham","1954", "Sonny Rollins Quintet","master"
"Sonny Rollins Quintet", "Rudy Van Gelder","1954", "Sonny Rollins Quintet","master"
"Kenny Dorham", "Rudy Van Gelder","1954", "Sonny Rollins Quintet","master"
"Miles Davis", "Sonny Rollins","1954", "Miles Davis With Sonny Rollins","master"
"Miles Davis", "Rudy Van Gelder","1954", "Miles Davis With Sonny Rollins","master"
"Sonny Rollins", "Rudy Van Gelder","1954", "Miles Davis With Sonny Rollins","master"
"Carl Orff", "Heinrich Hollreiser","1954", "Catulli Carmina","master"
"Carl Orff", "Rudy Van Gelder","1954", "Catulli Carmina","master"
"Heinrich Hollreiser", "Rudy Van Gelder","1954", "Catulli Carmina","master"
"Bach*", "Friedrike Sailer*","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Bach*", "Johannes Feyerabend","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Bach*", "Bruno Mueller*","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Bach*", "Pro Musica Orchestra","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Bach*", "Stuttgart* Conducted By Rolf Reinhardt","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Friedrike Sailer*", "Johannes Feyerabend","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Friedrike Sailer*", "Bruno Mueller*","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Friedrike Sailer*", "Pro Musica Orchestra","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Friedrike Sailer*", "Stuttgart* Conducted By Rolf Reinhardt","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Johannes Feyerabend", "Bruno Mueller*","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Johannes Feyerabend", "Pro Musica Orchestra","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Johannes Feyerabend", "Stuttgart* Conducted By Rolf Reinhardt","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
"Bruno Mueller*", "Pro Musica Orchestra","1954", "Coffee Cantata (No. 211) - Amore Traditore (Cantata No. 203)","master"
